DSC,simulate,analyze,score,score.metric
1,bigstep,HPR,beta1_value,0.9506759700465232
2,bigstep,HPR,beta1_value,0.9499154959267845
3,bigstep,HPR,beta1_value,0.9657752329007061
4,bigstep,HPR,beta1_value,0.9159080513213773
5,bigstep,HPR,beta1_value,0.9463177768552938
6,bigstep,HPR,beta1_value,0.9564287339374464
7,bigstep,HPR,beta1_value,0.9090870271031292
8,bigstep,HPR,beta1_value,0.9331709208537657
9,bigstep,HPR,beta1_value,0.943737003159833
10,bigstep,HPR,beta1_value,0.9782165130131409
11,bigstep,HPR,beta1_value,0.9739190886416607
12,bigstep,HPR,beta1_value,0.9572605667818471
13,bigstep,HPR,beta1_value,0.9683169670543432
14,bigstep,HPR,beta1_value,0.9272869633441049
15,bigstep,HPR,beta1_value,0.9301537350416973
16,bigstep,HPR,beta1_value,0.886352102887674
17,bigstep,HPR,beta1_value,0.9206659611425863
18,bigstep,HPR,beta1_value,0.9023507287154421
19,bigstep,HPR,beta1_value,0.9415010647287636
20,bigstep,HPR,beta1_value,0.9465190800542673
21,bigstep,HPR,beta1_value,0.8272870882526161
22,bigstep,HPR,beta1_value,0.9649409704811467
23,bigstep,HPR,beta1_value,0.9418649781278655
24,bigstep,HPR,beta1_value,0.9358418317096531
25,bigstep,HPR,beta1_value,0.9823547336121977
26,bigstep,HPR,beta1_value,0.9163044504899593
27,bigstep,HPR,beta1_value,0.9443400077346853
28,bigstep,HPR,beta1_value,0.9533232412440705
29,bigstep,HPR,beta1_value,0.9490258894263615
30,bigstep,HPR,beta1_value,0.9554136890943723
31,bigstep,HPR,beta1_value,0.8972695144615626
32,bigstep,HPR,beta1_value,0.9646565960418392
33,bigstep,HPR,beta1_value,0.9394965333722314
34,bigstep,HPR,beta1_value,0.9578304978658608
35,bigstep,HPR,beta1_value,0.9071789949422232
36,bigstep,HPR,beta1_value,0.9034780171636269
37,bigstep,HPR,beta1_value,0.9432468591126312
38,bigstep,HPR,beta1_value,0.9521720840207397
39,bigstep,HPR,beta1_value,0.9649098033911513
40,bigstep,HPR,beta1_value,0.9347287020806494
41,bigstep,HPR,beta1_value,0.943316426133743
42,bigstep,HPR,beta1_value,0.9588137842124087
43,bigstep,HPR,beta1_value,0.9534242988636016
44,bigstep,HPR,beta1_value,0.9291830218925142
45,bigstep,HPR,beta1_value,0.9063671610597168
46,bigstep,HPR,beta1_value,0.957315227920771
47,bigstep,HPR,beta1_value,0.9361587614070397
48,bigstep,HPR,beta1_value,0.9747822658501797
49,bigstep,HPR,beta1_value,0.9495204607393924
50,bigstep,HPR,beta1_value,0.9593721681273625
51,bigstep,HPR,beta1_value,0.9195596636358863
52,bigstep,HPR,beta1_value,0.9556457872666352
53,bigstep,HPR,beta1_value,0.9121329235697514
54,bigstep,HPR,beta1_value,0.9315475905637355
55,bigstep,HPR,beta1_value,0.9063119649803459
56,bigstep,HPR,beta1_value,0.9262670916671076
57,bigstep,HPR,beta1_value,0.9104225013694747
58,bigstep,HPR,beta1_value,0.9170616764914976
59,bigstep,HPR,beta1_value,0.9500684446336692
60,bigstep,HPR,beta1_value,0.9335209255708687
61,bigstep,HPR,beta1_value,0.9301831748732943
