DSC,simulate,analyze,score,score.metric
1,bigstep,HPR_obs,cover_obs,1
2,bigstep,HPR_obs,cover_obs,0.97
3,bigstep,HPR_obs,cover_obs,1
4,bigstep,HPR_obs,cover_obs,1
5,bigstep,HPR_obs,cover_obs,1
6,bigstep,HPR_obs,cover_obs,0.92
7,bigstep,HPR_obs,cover_obs,1
8,bigstep,HPR_obs,cover_obs,1
9,bigstep,HPR_obs,cover_obs,0.99
10,bigstep,HPR_obs,cover_obs,1
11,bigstep,HPR_obs,cover_obs,1
12,bigstep,HPR_obs,cover_obs,1
13,bigstep,HPR_obs,cover_obs,1
14,bigstep,HPR_obs,cover_obs,0.95
15,bigstep,HPR_obs,cover_obs,0.99
16,bigstep,HPR_obs,cover_obs,0.96
17,bigstep,HPR_obs,cover_obs,0.98
18,bigstep,HPR_obs,cover_obs,0.95
19,bigstep,HPR_obs,cover_obs,1
20,bigstep,HPR_obs,cover_obs,0.97
21,bigstep,HPR_obs,cover_obs,0.98
22,bigstep,HPR_obs,cover_obs,1
23,bigstep,HPR_obs,cover_obs,1
24,bigstep,HPR_obs,cover_obs,1
25,bigstep,HPR_obs,cover_obs,0.89
26,bigstep,HPR_obs,cover_obs,1
27,bigstep,HPR_obs,cover_obs,1
28,bigstep,HPR_obs,cover_obs,0.93
29,bigstep,HPR_obs,cover_obs,1
30,bigstep,HPR_obs,cover_obs,1
31,bigstep,HPR_obs,cover_obs,1
32,bigstep,HPR_obs,cover_obs,0.89
33,bigstep,HPR_obs,cover_obs,0.94
34,bigstep,HPR_obs,cover_obs,0.99
35,bigstep,HPR_obs,cover_obs,1
36,bigstep,HPR_obs,cover_obs,0.98
37,bigstep,HPR_obs,cover_obs,1
38,bigstep,HPR_obs,cover_obs,0.94
39,bigstep,HPR_obs,cover_obs,1
40,bigstep,HPR_obs,cover_obs,0.95
41,bigstep,HPR_obs,cover_obs,0.99
42,bigstep,HPR_obs,cover_obs,1
43,bigstep,HPR_obs,cover_obs,0.93
44,bigstep,HPR_obs,cover_obs,1
45,bigstep,HPR_obs,cover_obs,1
46,bigstep,HPR_obs,cover_obs,1
47,bigstep,HPR_obs,cover_obs,1
48,bigstep,HPR_obs,cover_obs,1
49,bigstep,HPR_obs,cover_obs,1
50,bigstep,HPR_obs,cover_obs,1
51,bigstep,HPR_obs,cover_obs,0.99
52,bigstep,HPR_obs,cover_obs,1
53,bigstep,HPR_obs,cover_obs,1
54,bigstep,HPR_obs,cover_obs,1
55,bigstep,HPR_obs,cover_obs,1
56,bigstep,HPR_obs,cover_obs,0.99
57,bigstep,HPR_obs,cover_obs,1
