DSC,simulate,analyze,score,score.metric
1,bigstep,HPR,time,247.13420343399048
2,bigstep,HPR,time,247.85087990760803
3,bigstep,HPR,time,222.9851622581482
4,bigstep,HPR,time,228.22951483726501
5,bigstep,HPR,time,240.88476657867432
6,bigstep,HPR,time,239.40575790405273
7,bigstep,HPR,time,232.65086007118225
8,bigstep,HPR,time,232.12418484687805
9,bigstep,HPR,time,236.39462399482727
10,bigstep,HPR,time,238.9167799949646
11,bigstep,HPR,time,233.30980229377747
12,bigstep,HPR,time,194.80674409866333
13,bigstep,HPR,time,194.01633644104004
14,bigstep,HPR,time,230.1250503063202
15,bigstep,HPR,time,240.2378990650177
16,bigstep,HPR,time,234.17988801002502
17,bigstep,HPR,time,234.31465673446655
18,bigstep,HPR,time,238.51891565322876
19,bigstep,HPR,time,271.03237557411194
20,bigstep,HPR,time,236.33482313156128
21,bigstep,HPR,time,221.96012425422668
22,bigstep,HPR,time,221.40546107292175
23,bigstep,HPR,time,232.11843752861023
24,bigstep,HPR,time,271.71241307258606
25,bigstep,HPR,time,214.80519914627075
26,bigstep,HPR,time,280.58981347084045
27,bigstep,HPR,time,241.54851293563843
28,bigstep,HPR,time,203.59407210350037
29,bigstep,HPR,time,231.03989386558533
30,bigstep,HPR,time,240.085613489151
31,bigstep,HPR,time,232.89882850646973
32,bigstep,HPR,time,256.6341691017151
33,bigstep,HPR,time,266.73279190063477
34,bigstep,HPR,time,231.50458240509033
35,bigstep,HPR,time,243.44769048690796
36,bigstep,HPR,time,220.7377278804779
37,bigstep,HPR,time,216.37812495231628
38,bigstep,HPR,time,243.94801378250122
39,bigstep,HPR,time,223.96333622932434
40,bigstep,HPR,time,234.11061072349548
41,bigstep,HPR,time,238.75271916389465
42,bigstep,HPR,time,227.83317708969116
43,bigstep,HPR,time,222.10039401054382
44,bigstep,HPR,time,228.92177176475525
45,bigstep,HPR,time,224.19879150390625
46,bigstep,HPR,time,210.19668841362
47,bigstep,HPR,time,228.0579478740692
48,bigstep,HPR,time,222.97919845581055
49,bigstep,HPR,time,231.09975862503052
50,bigstep,HPR,time,212.34802436828613
51,bigstep,HPR,time,224.83408570289612
52,bigstep,HPR,time,221.448077917099
53,bigstep,HPR,time,220.44522857666016
54,bigstep,HPR,time,246.02429604530334
55,bigstep,HPR,time,218.43068099021912
56,bigstep,HPR,time,224.50031924247742
57,bigstep,HPR,time,211.14682507514954
58,bigstep,HPR,time,221.25286316871643
59,bigstep,HPR,time,204.1381859779358
60,bigstep,HPR,time,222.38465905189514
61,bigstep,HPR,time,224.87245154380798
62,bigstep,HPR,time,220.61394572257996
63,bigstep,HPR,time,272.26838302612305
64,bigstep,HPR,time,224.3176348209381
65,bigstep,HPR,time,307.83730030059814
66,bigstep,HPR,time,272.50150322914124
67,bigstep,HPR,time,228.9021143913269
68,bigstep,HPR,time,225.95352053642273
69,bigstep,HPR,time,187.30034589767456
70,bigstep,HPR,time,238.69229078292847
71,bigstep,HPR,time,226.9294729232788
72,bigstep,HPR,time,217.03774404525757
73,bigstep,HPR,time,225.9234402179718
74,bigstep,HPR,time,223.36918258666992
75,bigstep,HPR,time,230.6659071445465
76,bigstep,HPR,time,218.17135334014893
77,bigstep,HPR,time,225.01349329948425
78,bigstep,HPR,time,245.190176486969
79,bigstep,HPR,time,244.73854780197144
80,bigstep,HPR,time,213.90659523010254
81,bigstep,HPR,time,230.2523262500763
82,bigstep,HPR,time,239.4454185962677
83,bigstep,HPR,time,234.30969882011414
84,bigstep,HPR,time,262.46329069137573
85,bigstep,HPR,time,223.76368141174316
86,bigstep,HPR,time,273.141802072525
87,bigstep,HPR,time,243.2679145336151
88,bigstep,HPR,time,231.66890740394592
89,bigstep,HPR,time,231.29796695709229
90,bigstep,HPR,time,222.12751126289368
91,bigstep,HPR,time,281.44124388694763
92,bigstep,HPR,time,245.9812514781952
93,bigstep,HPR,time,243.50550389289856
94,bigstep,HPR,time,273.4502866268158
95,bigstep,HPR,time,240.355051279068
96,bigstep,HPR,time,233.3036983013153
97,bigstep,HPR,time,241.62993121147156
98,bigstep,HPR,time,237.69577980041504
99,bigstep,HPR,time,205.6817433834076
