DSC,simulate,analyze,score,score.metric
1,bigstep,HPR,beta1_value,0.04759545
2,bigstep,HPR,beta1_value,0.04895625
3,bigstep,HPR,beta1_value,0.05120285
4,bigstep,HPR,beta1_value,0.0511919
5,bigstep,HPR,beta1_value,0.04604945
6,bigstep,HPR,beta1_value,0.04884895
7,bigstep,HPR,beta1_value,0.05138575
8,bigstep,HPR,beta1_value,0.04941355
9,bigstep,HPR,beta1_value,0.04519045
10,bigstep,HPR,beta1_value,0.0491241
11,bigstep,HPR,beta1_value,0.0495318
12,bigstep,HPR,beta1_value,0.0437118
13,bigstep,HPR,beta1_value,0.04779605000000001
14,bigstep,HPR,beta1_value,0.05401980000000001
15,bigstep,HPR,beta1_value,0.0484459
16,bigstep,HPR,beta1_value,0.05350265
17,bigstep,HPR,beta1_value,0.04837745
18,bigstep,HPR,beta1_value,0.04778
19,bigstep,HPR,beta1_value,0.05135565
20,bigstep,HPR,beta1_value,0.0498427
21,bigstep,HPR,beta1_value,0.0457768
22,bigstep,HPR,beta1_value,0.05165905
23,bigstep,HPR,beta1_value,0.0473561
24,bigstep,HPR,beta1_value,0.0445088
25,bigstep,HPR,beta1_value,0.053480349999999996
26,bigstep,HPR,beta1_value,0.0491172
27,bigstep,HPR,beta1_value,0.0479942
28,bigstep,HPR,beta1_value,0.0495057
29,bigstep,HPR,beta1_value,0.04613935
30,bigstep,HPR,beta1_value,0.04780625
31,bigstep,HPR,beta1_value,0.05038375
32,bigstep,HPR,beta1_value,0.04791545
33,bigstep,HPR,beta1_value,0.049478549999999996
34,bigstep,HPR,beta1_value,0.05026165
35,bigstep,HPR,beta1_value,0.046695299999999995
36,bigstep,HPR,beta1_value,0.051859050000000004
37,bigstep,HPR,beta1_value,0.05162075
38,bigstep,HPR,beta1_value,0.0559466
39,bigstep,HPR,beta1_value,0.04689315
40,bigstep,HPR,beta1_value,0.0505611
41,bigstep,HPR,beta1_value,0.05046235
42,bigstep,HPR,beta1_value,0.05238755
43,bigstep,HPR,beta1_value,0.04989615
44,bigstep,HPR,beta1_value,0.0496487
45,bigstep,HPR,beta1_value,0.05185225
46,bigstep,HPR,beta1_value,0.04803965
47,bigstep,HPR,beta1_value,0.0501827
48,bigstep,HPR,beta1_value,0.05164515
49,bigstep,HPR,beta1_value,0.055031399999999994
50,bigstep,HPR,beta1_value,0.05154015
51,bigstep,HPR,beta1_value,0.045669
52,bigstep,HPR,beta1_value,0.0491109
53,bigstep,HPR,beta1_value,0.0507267
54,bigstep,HPR,beta1_value,0.0444551
55,bigstep,HPR,beta1_value,0.0539906
56,bigstep,HPR,beta1_value,0.04660195
57,bigstep,HPR,beta1_value,0.0538747
58,bigstep,HPR,beta1_value,0.049087149999999996
59,bigstep,HPR,beta1_value,0.04978585
60,bigstep,HPR,beta1_value,0.05523865
61,bigstep,HPR,beta1_value,0.04815685
62,bigstep,HPR,beta1_value,0.048329750000000005
63,bigstep,HPR,beta1_value,0.05341755
64,bigstep,HPR,beta1_value,0.04937645
65,bigstep,HPR,beta1_value,0.04892445
66,bigstep,HPR,beta1_value,0.04799025
67,bigstep,HPR,beta1_value,0.05467265
68,bigstep,HPR,beta1_value,0.0469421
69,bigstep,HPR,beta1_value,0.0529123
70,bigstep,HPR,beta1_value,0.050583550000000005
71,bigstep,HPR,beta1_value,0.053545800000000005
72,bigstep,HPR,beta1_value,0.0490094
73,bigstep,HPR,beta1_value,0.04572465
74,bigstep,HPR,beta1_value,0.04291275
75,bigstep,HPR,beta1_value,0.04919355
76,bigstep,HPR,beta1_value,0.04804105
77,bigstep,HPR,beta1_value,0.048244300000000004
78,bigstep,HPR,beta1_value,0.048736550000000003
79,bigstep,HPR,beta1_value,0.05067315
80,bigstep,HPR,beta1_value,0.051142900000000005
81,bigstep,HPR,beta1_value,0.0481868
82,bigstep,HPR,beta1_value,0.0523294
83,bigstep,HPR,beta1_value,0.04917985
84,bigstep,HPR,beta1_value,0.0438688
85,bigstep,HPR,beta1_value,0.0503799
86,bigstep,HPR,beta1_value,0.043473750000000005
87,bigstep,HPR,beta1_value,0.0461787
88,bigstep,HPR,beta1_value,0.051954749999999994
89,bigstep,HPR,beta1_value,0.048124299999999995
90,bigstep,HPR,beta1_value,0.04790635
91,bigstep,HPR,beta1_value,0.04938275
92,bigstep,HPR,beta1_value,0.05379425
93,bigstep,HPR,beta1_value,0.051683099999999996
94,bigstep,HPR,beta1_value,0.04402495
95,bigstep,HPR,beta1_value,0.048116099999999995
96,bigstep,HPR,beta1_value,0.0504506
