DSC,simulate,analyze,score,score.metric
1,bigstep,HPR,beta1_value,1.012224819652916
2,bigstep,HPR,beta1_value,1.0071753301991433
3,bigstep,HPR,beta1_value,1.0098085818796503
4,bigstep,HPR,beta1_value,1.0095849794799987
5,bigstep,HPR,beta1_value,1.0114234044068795
6,bigstep,HPR,beta1_value,1.009766403056096
7,bigstep,HPR,beta1_value,1.0117359319428763
8,bigstep,HPR,beta1_value,1.011433417548148
9,bigstep,HPR,beta1_value,1.0078371660672734
10,bigstep,HPR,beta1_value,1.0116082083441904
11,bigstep,HPR,beta1_value,1.0094688485515728
12,bigstep,HPR,beta1_value,1.0092137022186334
13,bigstep,HPR,beta1_value,1.0102798280953809
14,bigstep,HPR,beta1_value,1.0109920232027125
15,bigstep,HPR,beta1_value,1.0104061209670328
16,bigstep,HPR,beta1_value,1.0128538090547659
17,bigstep,HPR,beta1_value,1.0072697371671562
18,bigstep,HPR,beta1_value,1.0102824043122272
19,bigstep,HPR,beta1_value,1.008598799100547
20,bigstep,HPR,beta1_value,1.0111125406345747
21,bigstep,HPR,beta1_value,1.008718431055448
22,bigstep,HPR,beta1_value,1.0099710933519688
23,bigstep,HPR,beta1_value,1.0081543319270785
24,bigstep,HPR,beta1_value,1.0129114927217184
25,bigstep,HPR,beta1_value,1.0097105847121683
26,bigstep,HPR,beta1_value,1.0099751635436762
27,bigstep,HPR,beta1_value,1.0094062079057788
28,bigstep,HPR,beta1_value,1.0092951440042621
29,bigstep,HPR,beta1_value,1.0090706058614303
30,bigstep,HPR,beta1_value,1.0095970138046784
31,bigstep,HPR,beta1_value,1.0128949823989466
32,bigstep,HPR,beta1_value,1.0068421965981176
33,bigstep,HPR,beta1_value,1.0132748892454277
34,bigstep,HPR,beta1_value,1.0094062028587476
35,bigstep,HPR,beta1_value,1.0095060784492225
36,bigstep,HPR,beta1_value,1.0102379023524801
37,bigstep,HPR,beta1_value,1.0092818617675643
38,bigstep,HPR,beta1_value,1.0086987057593935
39,bigstep,HPR,beta1_value,1.0098158424294557
40,bigstep,HPR,beta1_value,1.0109210540537301
41,bigstep,HPR,beta1_value,1.0103297876681205
42,bigstep,HPR,beta1_value,1.0109238846366442
43,bigstep,HPR,beta1_value,1.008325939438958
44,bigstep,HPR,beta1_value,1.0059919201648346
45,bigstep,HPR,beta1_value,1.0128300072699252
46,bigstep,HPR,beta1_value,1.0115577303540302
47,bigstep,HPR,beta1_value,1.0107992959457985
48,bigstep,HPR,beta1_value,1.007975672567198
49,bigstep,HPR,beta1_value,1.007416643061026
50,bigstep,HPR,beta1_value,1.010473113113618
51,bigstep,HPR,beta1_value,1.008882376252687
52,bigstep,HPR,beta1_value,1.007621386036863
53,bigstep,HPR,beta1_value,1.0100990041903741
54,bigstep,HPR,beta1_value,1.0098606489524096
55,bigstep,HPR,beta1_value,1.0100258706196257
56,bigstep,HPR,beta1_value,1.0105094908004846
57,bigstep,HPR,beta1_value,1.0103277670105657
58,bigstep,HPR,beta1_value,1.0111330158708336
59,bigstep,HPR,beta1_value,1.009358459074502
60,bigstep,HPR,beta1_value,1.0089361208483445
61,bigstep,HPR,beta1_value,1.0077332331797282
62,bigstep,HPR,beta1_value,1.0104768013472119
63,bigstep,HPR,beta1_value,1.0107655863513894
64,bigstep,HPR,beta1_value,1.0095419266465493
65,bigstep,HPR,beta1_value,1.0123627446805228
66,bigstep,HPR,beta1_value,1.008845799885178
67,bigstep,HPR,beta1_value,1.0091211312915593
68,bigstep,HPR,beta1_value,1.0105109560403085
69,bigstep,HPR,beta1_value,1.0083386192173707
70,bigstep,HPR,beta1_value,1.0099336342188001
71,bigstep,HPR,beta1_value,1.0101540055785514
72,bigstep,HPR,beta1_value,1.011654490478418
73,bigstep,HPR,beta1_value,1.009550129208026
74,bigstep,HPR,beta1_value,1.010742642232996
75,bigstep,HPR,beta1_value,1.0114997191816808
76,bigstep,HPR,beta1_value,1.008139975911607
77,bigstep,HPR,beta1_value,1.010001751489819
78,bigstep,HPR,beta1_value,1.0095862767975308
79,bigstep,HPR,beta1_value,1.0108697005685736
80,bigstep,HPR,beta1_value,1.0117776669108467
81,bigstep,HPR,beta1_value,1.010757500259043
82,bigstep,HPR,beta1_value,1.0095379288684354
83,bigstep,HPR,beta1_value,1.0102877588231596
84,bigstep,HPR,beta1_value,1.0085629087508636
85,bigstep,HPR,beta1_value,1.0091362329022866
86,bigstep,HPR,beta1_value,1.0104638168037405
87,bigstep,HPR,beta1_value,1.011014265271885
88,bigstep,HPR,beta1_value,1.0087156621271551
89,bigstep,HPR,beta1_value,1.0112845960705648
90,bigstep,HPR,beta1_value,1.009324994349556
91,bigstep,HPR,beta1_value,1.0104251673019242
92,bigstep,HPR,beta1_value,1.0081886097570838
93,bigstep,HPR,beta1_value,1.0105019625328209
94,bigstep,HPR,beta1_value,1.0120160192111276
95,bigstep,HPR,beta1_value,1.0115196459224265
96,bigstep,HPR,beta1_value,1.0084888123559221
97,bigstep,HPR,beta1_value,1.0104385050021611
98,bigstep,HPR,beta1_value,1.0120932389792903
99,bigstep,HPR,beta1_value,1.010424308440897
100,bigstep,HPR,beta1_value,1.0086593420604903
1,bigstep,HPR,beta2_value,1.010200423221545
2,bigstep,HPR,beta2_value,1.0077072339977031
3,bigstep,HPR,beta2_value,1.0085475686256835
4,bigstep,HPR,beta2_value,1.0076601247857002
5,bigstep,HPR,beta2_value,1.0112993103684838
6,bigstep,HPR,beta2_value,1.0127273115139508
7,bigstep,HPR,beta2_value,1.0101821892684677
8,bigstep,HPR,beta2_value,1.0106924601065908
9,bigstep,HPR,beta2_value,1.0086263997843288
10,bigstep,HPR,beta2_value,1.0092548032835709
11,bigstep,HPR,beta2_value,1.0108445807686295
12,bigstep,HPR,beta2_value,1.0114833330189583
13,bigstep,HPR,beta2_value,1.0086016383101626
14,bigstep,HPR,beta2_value,1.011066940487283
15,bigstep,HPR,beta2_value,1.010763868051353
16,bigstep,HPR,beta2_value,1.008345163356245
17,bigstep,HPR,beta2_value,1.0120353995034612
18,bigstep,HPR,beta2_value,1.0108992689397507
19,bigstep,HPR,beta2_value,1.0098369982929614
20,bigstep,HPR,beta2_value,1.0100002920383424
21,bigstep,HPR,beta2_value,1.009710211119321
22,bigstep,HPR,beta2_value,1.0104488115274755
23,bigstep,HPR,beta2_value,1.0108200680847632
24,bigstep,HPR,beta2_value,1.0096354700873296
