DSC,simulate,analyze,score,score.metric
1,bigstep,HPR_obs,cover_obs,0.81
2,bigstep,HPR_obs,cover_obs,0.7
3,bigstep,HPR_obs,cover_obs,0.74
4,bigstep,HPR_obs,cover_obs,0.82
5,bigstep,HPR_obs,cover_obs,0.72
6,bigstep,HPR_obs,cover_obs,0.78
7,bigstep,HPR_obs,cover_obs,0.83
8,bigstep,HPR_obs,cover_obs,0.49
9,bigstep,HPR_obs,cover_obs,0.8
10,bigstep,HPR_obs,cover_obs,0.72
11,bigstep,HPR_obs,cover_obs,0.79
12,bigstep,HPR_obs,cover_obs,0.76
13,bigstep,HPR_obs,cover_obs,0.81
14,bigstep,HPR_obs,cover_obs,0.71
15,bigstep,HPR_obs,cover_obs,0.75
16,bigstep,HPR_obs,cover_obs,0.67
17,bigstep,HPR_obs,cover_obs,0.82
18,bigstep,HPR_obs,cover_obs,0.72
19,bigstep,HPR_obs,cover_obs,0.76
20,bigstep,HPR_obs,cover_obs,0.71
21,bigstep,HPR_obs,cover_obs,0.85
22,bigstep,HPR_obs,cover_obs,0.8
23,bigstep,HPR_obs,cover_obs,0.8
24,bigstep,HPR_obs,cover_obs,0.78
25,bigstep,HPR_obs,cover_obs,0.79
26,bigstep,HPR_obs,cover_obs,0.7
27,bigstep,HPR_obs,cover_obs,0.82
28,bigstep,HPR_obs,cover_obs,0.7
29,bigstep,HPR_obs,cover_obs,0.87
30,bigstep,HPR_obs,cover_obs,0.78
31,bigstep,HPR_obs,cover_obs,0.82
32,bigstep,HPR_obs,cover_obs,0.84
33,bigstep,HPR_obs,cover_obs,0.84
34,bigstep,HPR_obs,cover_obs,0.76
35,bigstep,HPR_obs,cover_obs,0.71
36,bigstep,HPR_obs,cover_obs,0.79
37,bigstep,HPR_obs,cover_obs,0.77
38,bigstep,HPR_obs,cover_obs,0.76
39,bigstep,HPR_obs,cover_obs,0.81
40,bigstep,HPR_obs,cover_obs,0.82
41,bigstep,HPR_obs,cover_obs,0.8
42,bigstep,HPR_obs,cover_obs,0.79
43,bigstep,HPR_obs,cover_obs,0.74
44,bigstep,HPR_obs,cover_obs,0.75
45,bigstep,HPR_obs,cover_obs,0.78
46,bigstep,HPR_obs,cover_obs,0.81
47,bigstep,HPR_obs,cover_obs,0.83
48,bigstep,HPR_obs,cover_obs,0.77
49,bigstep,HPR_obs,cover_obs,0.82
50,bigstep,HPR_obs,cover_obs,0.7
51,bigstep,HPR_obs,cover_obs,0.74
52,bigstep,HPR_obs,cover_obs,0.76
53,bigstep,HPR_obs,cover_obs,0.79
54,bigstep,HPR_obs,cover_obs,0.81
55,bigstep,HPR_obs,cover_obs,0.79
56,bigstep,HPR_obs,cover_obs,0.73
57,bigstep,HPR_obs,cover_obs,0.69
58,bigstep,HPR_obs,cover_obs,0.76
59,bigstep,HPR_obs,cover_obs,0.83
60,bigstep,HPR_obs,cover_obs,0.78
61,bigstep,HPR_obs,cover_obs,0.76
62,bigstep,HPR_obs,cover_obs,0.71
63,bigstep,HPR_obs,cover_obs,0.81
64,bigstep,HPR_obs,cover_obs,0.75
65,bigstep,HPR_obs,cover_obs,0.8
66,bigstep,HPR_obs,cover_obs,0.68
67,bigstep,HPR_obs,cover_obs,0.77
68,bigstep,HPR_obs,cover_obs,0.82
69,bigstep,HPR_obs,cover_obs,0.77
70,bigstep,HPR_obs,cover_obs,0.77
71,bigstep,HPR_obs,cover_obs,0.8
72,bigstep,HPR_obs,cover_obs,0.78
73,bigstep,HPR_obs,cover_obs,0.83
74,bigstep,HPR_obs,cover_obs,0.78
75,bigstep,HPR_obs,cover_obs,0.72
76,bigstep,HPR_obs,cover_obs,0.73
77,bigstep,HPR_obs,cover_obs,0.86
78,bigstep,HPR_obs,cover_obs,0.77
79,bigstep,HPR_obs,cover_obs,0.76
80,bigstep,HPR_obs,cover_obs,0.79
81,bigstep,HPR_obs,cover_obs,0.82
82,bigstep,HPR_obs,cover_obs,0.76
83,bigstep,HPR_obs,cover_obs,0.77
84,bigstep,HPR_obs,cover_obs,0.76
85,bigstep,HPR_obs,cover_obs,0.8
86,bigstep,HPR_obs,cover_obs,0.79
87,bigstep,HPR_obs,cover_obs,0.78
88,bigstep,HPR_obs,cover_obs,0.79
89,bigstep,HPR_obs,cover_obs,0.79
90,bigstep,HPR_obs,cover_obs,0.8
91,bigstep,HPR_obs,cover_obs,0.76
92,bigstep,HPR_obs,cover_obs,0.67
93,bigstep,HPR_obs,cover_obs,0.75
94,bigstep,HPR_obs,cover_obs,0.78
95,bigstep,HPR_obs,cover_obs,0.78
96,bigstep,HPR_obs,cover_obs,0.67
97,bigstep,HPR_obs,cover_obs,0.78
98,bigstep,HPR_obs,cover_obs,0.72
99,bigstep,HPR_obs,cover_obs,0.74
100,bigstep,HPR_obs,cover_obs,0.79
1,bigstep,HPR_obs,cover_aug,NA
2,bigstep,HPR_obs,cover_aug,NA
3,bigstep,HPR_obs,cover_aug,NA
4,bigstep,HPR_obs,cover_aug,NA
5,bigstep,HPR_obs,cover_aug,NA
6,bigstep,HPR_obs,cover_aug,NA
7,bigstep,HPR_obs,cover_aug,NA
8,bigstep,HPR_obs,cover_aug,NA
9,bigstep,HPR_obs,cover_aug,NA
10,bigstep,HPR_obs,cover_aug,NA
11,bigstep,HPR_obs,cover_aug,NA
12,bigstep,HPR_obs,cover_aug,NA
13,bigstep,HPR_obs,cover_aug,NA
14,bigstep,HPR_obs,cover_aug,NA
15,bigstep,HPR_obs,cover_aug,NA
16,bigstep,HPR_obs,cover_aug,NA
17,bigstep,HPR_obs,cover_aug,NA
18,bigstep,HPR_obs,cover_aug,NA
19,bigstep,HPR_obs,cover_aug,NA
20,bigstep,HPR_obs,cover_aug,NA
21,bigstep,HPR_obs,cover_aug,NA
22,bigstep,HPR_obs,cover_aug,NA
23,bigstep,HPR_obs,cover_aug,NA
24,bigstep,HPR_obs,cover_aug,NA
25,bigstep,HPR_obs,cover_aug,NA
26,bigstep,HPR_obs,cover_aug,NA
27,bigstep,HPR_obs,cover_aug,NA
28,bigstep,HPR_obs,cover_aug,NA
29,bigstep,HPR_obs,cover_aug,NA
30,bigstep,HPR_obs,cover_aug,NA
31,bigstep,HPR_obs,cover_aug,NA
32,bigstep,HPR_obs,cover_aug,NA
33,bigstep,HPR_obs,cover_aug,NA
34,bigstep,HPR_obs,cover_aug,NA
35,bigstep,HPR_obs,cover_aug,NA
36,bigstep,HPR_obs,cover_aug,NA
37,bigstep,HPR_obs,cover_aug,NA
38,bigstep,HPR_obs,cover_aug,NA
39,bigstep,HPR_obs,cover_aug,NA
40,bigstep,HPR_obs,cover_aug,NA
41,bigstep,HPR_obs,cover_aug,NA
42,bigstep,HPR_obs,cover_aug,NA
43,bigstep,HPR_obs,cover_aug,NA
44,bigstep,HPR_obs,cover_aug,NA
45,bigstep,HPR_obs,cover_aug,NA
46,bigstep,HPR_obs,cover_aug,NA
47,bigstep,HPR_obs,cover_aug,NA
48,bigstep,HPR_obs,cover_aug,NA
49,bigstep,HPR_obs,cover_aug,NA
50,bigstep,HPR_obs,cover_aug,NA
51,bigstep,HPR_obs,cover_aug,NA
52,bigstep,HPR_obs,cover_aug,NA
53,bigstep,HPR_obs,cover_aug,NA
54,bigstep,HPR_obs,cover_aug,NA
55,bigstep,HPR_obs,cover_aug,NA
56,bigstep,HPR_obs,cover_aug,NA
57,bigstep,HPR_obs,cover_aug,NA
58,bigstep,HPR_obs,cover_aug,NA
59,bigstep,HPR_obs,cover_aug,NA
60,bigstep,HPR_obs,cover_aug,NA
61,bigstep,HPR_obs,cover_aug,NA
62,bigstep,HPR_obs,cover_aug,NA
63,bigstep,HPR_obs,cover_aug,NA
64,bigstep,HPR_obs,cover_aug,NA
65,bigstep,HPR_obs,cover_aug,NA
66,bigstep,HPR_obs,cover_aug,NA
67,bigstep,HPR_obs,cover_aug,NA
68,bigstep,HPR_obs,cover_aug,NA
69,bigstep,HPR_obs,cover_aug,NA
70,bigstep,HPR_obs,cover_aug,NA
71,bigstep,HPR_obs,cover_aug,NA
72,bigstep,HPR_obs,cover_aug,NA
73,bigstep,HPR_obs,cover_aug,NA
74,bigstep,HPR_obs,cover_aug,NA
75,bigstep,HPR_obs,cover_aug,NA
76,bigstep,HPR_obs,cover_aug,NA
77,bigstep,HPR_obs,cover_aug,NA
78,bigstep,HPR_obs,cover_aug,NA
79,bigstep,HPR_obs,cover_aug,NA
80,bigstep,HPR_obs,cover_aug,NA
