DSC,simulate,analyze,score,score.metric
1,bigstep,HPR_obs,cover_obs,0.76
2,bigstep,HPR_obs,cover_obs,0.6
3,bigstep,HPR_obs,cover_obs,0.6
4,bigstep,HPR_obs,cover_obs,0.72
5,bigstep,HPR_obs,cover_obs,0.82
6,bigstep,HPR_obs,cover_obs,0.74
7,bigstep,HPR_obs,cover_obs,0.54
8,bigstep,HPR_obs,cover_obs,0.68
9,bigstep,HPR_obs,cover_obs,0.68
10,bigstep,HPR_obs,cover_obs,0.84
11,bigstep,HPR_obs,cover_obs,0.76
12,bigstep,HPR_obs,cover_obs,0.56
13,bigstep,HPR_obs,cover_obs,0.74
14,bigstep,HPR_obs,cover_obs,0.72
15,bigstep,HPR_obs,cover_obs,0.7
16,bigstep,HPR_obs,cover_obs,0.66
17,bigstep,HPR_obs,cover_obs,0.78
18,bigstep,HPR_obs,cover_obs,0.84
19,bigstep,HPR_obs,cover_obs,0.5
20,bigstep,HPR_obs,cover_obs,0.7
21,bigstep,HPR_obs,cover_obs,0.78
22,bigstep,HPR_obs,cover_obs,0.8
23,bigstep,HPR_obs,cover_obs,0.86
24,bigstep,HPR_obs,cover_obs,0.76
25,bigstep,HPR_obs,cover_obs,0.58
26,bigstep,HPR_obs,cover_obs,0.64
27,bigstep,HPR_obs,cover_obs,0.82
28,bigstep,HPR_obs,cover_obs,0.74
29,bigstep,HPR_obs,cover_obs,0.8
30,bigstep,HPR_obs,cover_obs,0.74
31,bigstep,HPR_obs,cover_obs,0.68
32,bigstep,HPR_obs,cover_obs,0.74
33,bigstep,HPR_obs,cover_obs,0.78
34,bigstep,HPR_obs,cover_obs,0.76
35,bigstep,HPR_obs,cover_obs,0.66
36,bigstep,HPR_obs,cover_obs,0.8
37,bigstep,HPR_obs,cover_obs,0.76
38,bigstep,HPR_obs,cover_obs,0.64
39,bigstep,HPR_obs,cover_obs,0.78
40,bigstep,HPR_obs,cover_obs,0.72
41,bigstep,HPR_obs,cover_obs,0.38
42,bigstep,HPR_obs,cover_obs,0.82
43,bigstep,HPR_obs,cover_obs,0.78
44,bigstep,HPR_obs,cover_obs,0.8
45,bigstep,HPR_obs,cover_obs,0.8
46,bigstep,HPR_obs,cover_obs,0.58
47,bigstep,HPR_obs,cover_obs,0.72
48,bigstep,HPR_obs,cover_obs,0.66
49,bigstep,HPR_obs,cover_obs,0.88
50,bigstep,HPR_obs,cover_obs,0.68
51,bigstep,HPR_obs,cover_obs,0.74
52,bigstep,HPR_obs,cover_obs,0.8
53,bigstep,HPR_obs,cover_obs,0.74
54,bigstep,HPR_obs,cover_obs,0.74
55,bigstep,HPR_obs,cover_obs,0.78
56,bigstep,HPR_obs,cover_obs,0.72
57,bigstep,HPR_obs,cover_obs,0.76
58,bigstep,HPR_obs,cover_obs,0.78
59,bigstep,HPR_obs,cover_obs,0.76
60,bigstep,HPR_obs,cover_obs,0.7
61,bigstep,HPR_obs,cover_obs,0.72
62,bigstep,HPR_obs,cover_obs,0.76
63,bigstep,HPR_obs,cover_obs,0.74
64,bigstep,HPR_obs,cover_obs,0.8
65,bigstep,HPR_obs,cover_obs,0.56
66,bigstep,HPR_obs,cover_obs,0.76
67,bigstep,HPR_obs,cover_obs,0.8
68,bigstep,HPR_obs,cover_obs,0.76
69,bigstep,HPR_obs,cover_obs,0.82
70,bigstep,HPR_obs,cover_obs,0.72
71,bigstep,HPR_obs,cover_obs,0.78
72,bigstep,HPR_obs,cover_obs,0.76
73,bigstep,HPR_obs,cover_obs,0.82
74,bigstep,HPR_obs,cover_obs,0.68
75,bigstep,HPR_obs,cover_obs,0.84
