DSC,simulate,analyze,score,score.metric
1,bigstep,HPR,div,0.00725
2,bigstep,HPR,div,0.00875
3,bigstep,HPR,div,0.006
4,bigstep,HPR,div,0.00625
5,bigstep,HPR,div,0.028125
6,bigstep,HPR,div,0.00725
7,bigstep,HPR,div,0.006125
8,bigstep,HPR,div,0.01325
9,bigstep,HPR,div,0.008875
10,bigstep,HPR,div,0.005625
11,bigstep,HPR,div,0.0065
12,bigstep,HPR,div,0.0065
13,bigstep,HPR,div,0.007625
14,bigstep,HPR,div,0.008875
15,bigstep,HPR,div,0.0065
16,bigstep,HPR,div,0.007
17,bigstep,HPR,div,0.007625
18,bigstep,HPR,div,0.007875
19,bigstep,HPR,div,0.0085
20,bigstep,HPR,div,0.008875
21,bigstep,HPR,div,0.007375
22,bigstep,HPR,div,0.0055
23,bigstep,HPR,div,0.005
24,bigstep,HPR,div,0.0045
25,bigstep,HPR,div,0.009
26,bigstep,HPR,div,0.00525
27,bigstep,HPR,div,0.02275
28,bigstep,HPR,div,0.009625
29,bigstep,HPR,div,0.002875
30,bigstep,HPR,div,0.007625
31,bigstep,HPR,div,0.00725
32,bigstep,HPR,div,0.007375
33,bigstep,HPR,div,0.008125
34,bigstep,HPR,div,0.00775
35,bigstep,HPR,div,0.00775
36,bigstep,HPR,div,0.0085
37,bigstep,HPR,div,0.01625
38,bigstep,HPR,div,0.006625
39,bigstep,HPR,div,0.007
40,bigstep,HPR,div,0.014875
41,bigstep,HPR,div,0.009
42,bigstep,HPR,div,0.013166666666666667
43,bigstep,HPR,div,0.005333333333333333
44,bigstep,HPR,div,0.008166666666666666
45,bigstep,HPR,div,0.00825
46,bigstep,HPR,div,0.007875
47,bigstep,HPR,div,0.009375
48,bigstep,HPR,div,0.010875
49,bigstep,HPR,div,0.0085
50,bigstep,HPR,div,0.006125
51,bigstep,HPR,div,0.007375
52,bigstep,HPR,div,0.007375
53,bigstep,HPR,div,0.008625
54,bigstep,HPR,div,0.0105
55,bigstep,HPR,div,0.004625
56,bigstep,HPR,div,0.005125
57,bigstep,HPR,div,0.00925
58,bigstep,HPR,div,0.00425
59,bigstep,HPR,div,0.00725
60,bigstep,HPR,div,0.060375
61,bigstep,HPR,div,0.007
62,bigstep,HPR,div,0.00725
63,bigstep,HPR,div,0.0085
64,bigstep,HPR,div,0.010375
65,bigstep,HPR,div,0.0085
66,bigstep,HPR,div,0.00375
67,bigstep,HPR,div,0.006875
68,bigstep,HPR,div,0.01025
69,bigstep,HPR,div,0.008875
70,bigstep,HPR,div,0.017875
71,bigstep,HPR,div,0.011875
72,bigstep,HPR,div,0.008125
73,bigstep,HPR,div,0.039625
74,bigstep,HPR,div,0.005375
75,bigstep,HPR,div,0.004625
76,bigstep,HPR,div,0.012875
77,bigstep,HPR,div,0.004875
78,bigstep,HPR,div,0.007125
79,bigstep,HPR,div,0.0165
80,bigstep,HPR,div,0.00875
81,bigstep,HPR,div,0.017625
82,bigstep,HPR,div,0.008125
83,bigstep,HPR,div,0.010375
84,bigstep,HPR,div,0.01275
