DSC,simulate,analyze,score,score.metric
1,bigstep,HPR_obs,cover_obs,1
2,bigstep,HPR_obs,cover_obs,0.96
3,bigstep,HPR_obs,cover_obs,1
4,bigstep,HPR_obs,cover_obs,1
5,bigstep,HPR_obs,cover_obs,0.94
6,bigstep,HPR_obs,cover_obs,1
7,bigstep,HPR_obs,cover_obs,0.96
8,bigstep,HPR_obs,cover_obs,0.96
9,bigstep,HPR_obs,cover_obs,1
10,bigstep,HPR_obs,cover_obs,1
11,bigstep,HPR_obs,cover_obs,0.96
12,bigstep,HPR_obs,cover_obs,1
13,bigstep,HPR_obs,cover_obs,0.92
14,bigstep,HPR_obs,cover_obs,0.62
15,bigstep,HPR_obs,cover_obs,0.88
16,bigstep,HPR_obs,cover_obs,1
17,bigstep,HPR_obs,cover_obs,1
18,bigstep,HPR_obs,cover_obs,1
19,bigstep,HPR_obs,cover_obs,0.94
20,bigstep,HPR_obs,cover_obs,1
21,bigstep,HPR_obs,cover_obs,0.96
22,bigstep,HPR_obs,cover_obs,1
23,bigstep,HPR_obs,cover_obs,1
24,bigstep,HPR_obs,cover_obs,1
25,bigstep,HPR_obs,cover_obs,1
26,bigstep,HPR_obs,cover_obs,1
27,bigstep,HPR_obs,cover_obs,0.82
28,bigstep,HPR_obs,cover_obs,1
29,bigstep,HPR_obs,cover_obs,1
30,bigstep,HPR_obs,cover_obs,0.9
31,bigstep,HPR_obs,cover_obs,0.98
32,bigstep,HPR_obs,cover_obs,1
33,bigstep,HPR_obs,cover_obs,0.96
34,bigstep,HPR_obs,cover_obs,0.9
35,bigstep,HPR_obs,cover_obs,0.92
36,bigstep,HPR_obs,cover_obs,1
37,bigstep,HPR_obs,cover_obs,1
38,bigstep,HPR_obs,cover_obs,1
39,bigstep,HPR_obs,cover_obs,1
40,bigstep,HPR_obs,cover_obs,1
41,bigstep,HPR_obs,cover_obs,1
42,bigstep,HPR_obs,cover_obs,0.96
43,bigstep,HPR_obs,cover_obs,0.94
44,bigstep,HPR_obs,cover_obs,0.98
45,bigstep,HPR_obs,cover_obs,1
46,bigstep,HPR_obs,cover_obs,0.96
47,bigstep,HPR_obs,cover_obs,0.94
48,bigstep,HPR_obs,cover_obs,0.88
49,bigstep,HPR_obs,cover_obs,1
50,bigstep,HPR_obs,cover_obs,1
51,bigstep,HPR_obs,cover_obs,1
52,bigstep,HPR_obs,cover_obs,1
