DSC,simulate,analyze,score,score.metric
1,bigstep,HPR,mad,0.15152341153333332
2,bigstep,HPR,mad,0.050485191133333426
3,bigstep,HPR,mad,0.13195920866666666
4,bigstep,HPR,mad,0.09475454733333327
5,bigstep,HPR,mad,0.1733828999333333
6,bigstep,HPR,mad,0.1338878333333334
7,bigstep,HPR,mad,0.14727492159999994
8,bigstep,HPR,mad,0.06863590133333326
9,bigstep,HPR,mad,0.103530182
10,bigstep,HPR,mad,0.1690228993333334
11,bigstep,HPR,mad,0.08957695493333331
12,bigstep,HPR,mad,0.12870076406666667
13,bigstep,HPR,mad,0.12025782666666661
14,bigstep,HPR,mad,0.10501800115333336
15,bigstep,HPR,mad,0.06831476866666664
16,bigstep,HPR,mad,0.14587871999999996
17,bigstep,HPR,mad,0.10418945480000004
18,bigstep,HPR,mad,0.1744588933333333
19,bigstep,HPR,mad,0.13761792000000006
20,bigstep,HPR,mad,0.11456192200000007
21,bigstep,HPR,mad,0.11950572399999992
22,bigstep,HPR,mad,0.08230548333866665
23,bigstep,HPR,mad,0.11568549399999999
24,bigstep,HPR,mad,0.09183395066666666
25,bigstep,HPR,mad,0.1416801469333333
26,bigstep,HPR,mad,0.1742190066666667
27,bigstep,HPR,mad,0.10413021266666661
28,bigstep,HPR,mad,0.23506577666666675
29,bigstep,HPR,mad,0.1434173110266667
30,bigstep,HPR,mad,0.13340549940000002
31,bigstep,HPR,mad,0.14652974666666668
32,bigstep,HPR,mad,0.1370117208
33,bigstep,HPR,mad,0.05385547400000003
34,bigstep,HPR,mad,0.16974698666666663
35,bigstep,HPR,mad,0.16532829986666667
36,bigstep,HPR,mad,0.09254097980000008
37,bigstep,HPR,mad,0.10735047406666666
38,bigstep,HPR,mad,0.1534178453333333
39,bigstep,HPR,mad,0.11009230799999999
40,bigstep,HPR,mad,0.0941408046666667
41,bigstep,HPR,mad,0.11166086900000002
42,bigstep,HPR,mad,0.12355463333333332
43,bigstep,HPR,mad,0.14930431466666663
44,bigstep,HPR,mad,0.08518271826666662
45,bigstep,HPR,mad,0.17013667733333332
46,bigstep,HPR,mad,0.1277324553333333
47,bigstep,HPR,mad,0.11300840666666669
48,bigstep,HPR,mad,0.12922004106666668
49,bigstep,HPR,mad,0.17227171466666671
50,bigstep,HPR,mad,0.11810287013333336
51,bigstep,HPR,mad,0.14000847146666665
52,bigstep,HPR,mad,0.11025338439999996
53,bigstep,HPR,mad,0.21346159066666667
54,bigstep,HPR,mad,0.16904517393333335
55,bigstep,HPR,mad,0.128742676
56,bigstep,HPR,mad,0.10891609279999999
57,bigstep,HPR,mad,0.18197072600000003
58,bigstep,HPR,mad,0.14210779666666667
59,bigstep,HPR,mad,0.11468886126666668
60,bigstep,HPR,mad,0.13440520746666668
61,bigstep,HPR,mad,0.19487915333333333
62,bigstep,HPR,mad,0.10390044686666668
63,bigstep,HPR,mad,0.114710628
64,bigstep,HPR,mad,0.08669831786666664
65,bigstep,HPR,mad,0.0851038861333333
66,bigstep,HPR,mad,0.10851666066666664
67,bigstep,HPR,mad,0.16863397460000001
68,bigstep,HPR,mad,0.11450943326666672
69,bigstep,HPR,mad,0.17099498666666663
70,bigstep,HPR,mad,0.11521555333333337
71,bigstep,HPR,mad,0.18288334753333335
72,bigstep,HPR,mad,0.11472703366666664
73,bigstep,HPR,mad,0.17168687333333332
74,bigstep,HPR,mad,0.062045902066666686
75,bigstep,HPR,mad,0.08179312599999997
76,bigstep,HPR,mad,0.15604397733333336
77,bigstep,HPR,mad,0.1499654313333333
78,bigstep,HPR,mad,0.13632954933333336
79,bigstep,HPR,mad,0.131715148
80,bigstep,HPR,mad,0.15405527466666669
81,bigstep,HPR,mad,0.1293931266666667
82,bigstep,HPR,mad,0.16225796933333336
83,bigstep,HPR,mad,0.1159774786666667
84,bigstep,HPR,mad,0.1280046953333333
85,bigstep,HPR,mad,0.07761445832666668
86,bigstep,HPR,mad,0.13733113999999996
87,bigstep,HPR,mad,0.21503434866666665
88,bigstep,HPR,mad,0.16431764600000004
89,bigstep,HPR,mad,0.10284835599999997
90,bigstep,HPR,mad,0.18558192666666667
91,bigstep,HPR,mad,0.1216908166666667
92,bigstep,HPR,mad,0.19671387066666673
93,bigstep,HPR,mad,0.14759000100000003
94,bigstep,HPR,mad,0.06140571333333338
95,bigstep,HPR,mad,0.11858316933333331
96,bigstep,HPR,mad,0.18058165599999998
97,bigstep,HPR,mad,0.1176949
98,bigstep,HPR,mad,0.09222152666666675
99,bigstep,HPR,mad,0.08995298066666665
100,bigstep,HPR,mad,0.09388847533333332
1,bigstep,HPR,width,0.824004185
2,bigstep,HPR,width,0.7255103133333332
3,bigstep,HPR,width,0.8718516276666664
4,bigstep,HPR,width,0.7692579286666664
5,bigstep,HPR,width,1.0482217795333328
6,bigstep,HPR,width,0.8981118469999996
7,bigstep,HPR,width,0.992896989333333
8,bigstep,HPR,width,0.6989035353999997
9,bigstep,HPR,width,0.8361381203333331
10,bigstep,HPR,width,0.7610290239999998
11,bigstep,HPR,width,0.7144332046666665
12,bigstep,HPR,width,0.7945273799999997
