DSC,simulate,analyze,score,score.metric
1,bigstep,HPR,time,246.96315670013428
2,bigstep,HPR,time,227.98730754852295
3,bigstep,HPR,time,294.9113862514496
4,bigstep,HPR,time,236.03426885604858
5,bigstep,HPR,time,191.31437635421753
6,bigstep,HPR,time,230.93077278137207
7,bigstep,HPR,time,339.38366651535034
8,bigstep,HPR,time,231.03898215293884
9,bigstep,HPR,time,262.66001629829407
10,bigstep,HPR,time,285.55077934265137
11,bigstep,HPR,time,244.32755160331726
12,bigstep,HPR,time,169.96233367919922
13,bigstep,HPR,time,275.6193571090698
14,bigstep,HPR,time,239.45680975914001
15,bigstep,HPR,time,263.712482213974
16,bigstep,HPR,time,245.47283005714417
17,bigstep,HPR,time,251.2662169933319
18,bigstep,HPR,time,287.8520631790161
19,bigstep,HPR,time,236.13241124153137
20,bigstep,HPR,time,262.7792673110962
21,bigstep,HPR,time,320.9401707649231
22,bigstep,HPR,time,196.8182737827301
23,bigstep,HPR,time,253.61770510673523
24,bigstep,HPR,time,277.48795199394226
25,bigstep,HPR,time,196.29360818862915
26,bigstep,HPR,time,376.5046911239624
27,bigstep,HPR,time,329.44283533096313
28,bigstep,HPR,time,204.2014286518097
29,bigstep,HPR,time,230.9830629825592
30,bigstep,HPR,time,264.2098639011383
31,bigstep,HPR,time,296.01245975494385
32,bigstep,HPR,time,277.46445655822754
33,bigstep,HPR,time,329.6755573749542
34,bigstep,HPR,time,218.99634099006653
35,bigstep,HPR,time,305.7347238063812
36,bigstep,HPR,time,235.18635869026184
37,bigstep,HPR,time,280.97334027290344
38,bigstep,HPR,time,285.1813213825226
39,bigstep,HPR,time,287.94034004211426
40,bigstep,HPR,time,234.60277915000916
41,bigstep,HPR,time,217.50881695747375
42,bigstep,HPR,time,186.56022000312805
43,bigstep,HPR,time,193.95009517669678
44,bigstep,HPR,time,193.5413773059845
45,bigstep,HPR,time,204.31134819984436
46,bigstep,HPR,time,214.06585311889648
47,bigstep,HPR,time,248.02297258377075
48,bigstep,HPR,time,223.51851773262024
49,bigstep,HPR,time,219.04593110084534
50,bigstep,HPR,time,193.7714445590973
51,bigstep,HPR,time,216.3718729019165
52,bigstep,HPR,time,203.4948649406433
53,bigstep,HPR,time,192.8501477241516
54,bigstep,HPR,time,196.13486456871033
55,bigstep,HPR,time,220.3659062385559
56,bigstep,HPR,time,205.566552400589
57,bigstep,HPR,time,181.81351613998413
58,bigstep,HPR,time,210.56617093086243
59,bigstep,HPR,time,131.4738073348999
60,bigstep,HPR,time,200.98849368095398
61,bigstep,HPR,time,207.41365694999695
62,bigstep,HPR,time,204.37836050987244
63,bigstep,HPR,time,209.4994671344757
64,bigstep,HPR,time,205.29179739952087
65,bigstep,HPR,time,213.40856051445007
66,bigstep,HPR,time,220.39757251739502
67,bigstep,HPR,time,219.73182845115662
68,bigstep,HPR,time,171.10913729667664
69,bigstep,HPR,time,146.69450330734253
70,bigstep,HPR,time,225.41130924224854
71,bigstep,HPR,time,172.71147537231445
72,bigstep,HPR,time,192.28397369384766
73,bigstep,HPR,time,205.32534384727478
74,bigstep,HPR,time,239.04079818725586
75,bigstep,HPR,time,201.83208346366882
76,bigstep,HPR,time,195.2349877357483
77,bigstep,HPR,time,208.83700919151306
78,bigstep,HPR,time,210.97084760665894
79,bigstep,HPR,time,187.7653524875641
80,bigstep,HPR,time,231.733553647995
81,bigstep,HPR,time,218.2098069190979
82,bigstep,HPR,time,182.78317141532898
83,bigstep,HPR,time,178.2869725227356
84,bigstep,HPR,time,285.5828709602356
85,bigstep,HPR,time,216.23129439353943
86,bigstep,HPR,time,234.16441917419434
87,bigstep,HPR,time,234.9925401210785
88,bigstep,HPR,time,216.47002124786377
89,bigstep,HPR,time,204.585209608078
90,bigstep,HPR,time,196.40952897071838
91,bigstep,HPR,time,270.9562883377075
92,bigstep,HPR,time,239.00222611427307
93,bigstep,HPR,time,259.96705985069275
94,bigstep,HPR,time,253.15747237205505
95,bigstep,HPR,time,261.7696580886841
96,bigstep,HPR,time,202.76431441307068
97,bigstep,HPR,time,213.71743416786194
98,bigstep,HPR,time,260.19748520851135
99,bigstep,HPR,time,214.16153240203857
100,bigstep,HPR,time,215.25979566574097
1,bigstep,HPR,rhat,0
2,bigstep,HPR,rhat,0
3,bigstep,HPR,rhat,0
4,bigstep,HPR,rhat,0
5,bigstep,HPR,rhat,0
6,bigstep,HPR,rhat,0
7,bigstep,HPR,rhat,0
8,bigstep,HPR,rhat,0
9,bigstep,HPR,rhat,0
10,bigstep,HPR,rhat,0
11,bigstep,HPR,rhat,0
12,bigstep,HPR,rhat,0
13,bigstep,HPR,rhat,0
14,bigstep,HPR,rhat,0
15,bigstep,HPR,rhat,0
16,bigstep,HPR,rhat,0
17,bigstep,HPR,rhat,0
18,bigstep,HPR,rhat,0
19,bigstep,HPR,rhat,0
20,bigstep,HPR,rhat,0
21,bigstep,HPR,rhat,0
22,bigstep,HPR,rhat,0
23,bigstep,HPR,rhat,0
24,bigstep,HPR,rhat,0
25,bigstep,HPR,rhat,0
26,bigstep,HPR,rhat,0
27,bigstep,HPR,rhat,0
28,bigstep,HPR,rhat,0
29,bigstep,HPR,rhat,0
30,bigstep,HPR,rhat,0
31,bigstep,HPR,rhat,0
32,bigstep,HPR,rhat,0
33,bigstep,HPR,rhat,0
34,bigstep,HPR,rhat,0
35,bigstep,HPR,rhat,0
36,bigstep,HPR,rhat,0
37,bigstep,HPR,rhat,0
38,bigstep,HPR,rhat,0
39,bigstep,HPR,rhat,0
40,bigstep,HPR,rhat,0
41,bigstep,HPR,rhat,0
42,bigstep,HPR,rhat,0
43,bigstep,HPR,rhat,0
44,bigstep,HPR,rhat,0
45,bigstep,HPR,rhat,0
46,bigstep,HPR,rhat,0
47,bigstep,HPR,rhat,0
48,bigstep,HPR,rhat,0
49,bigstep,HPR,rhat,0
50,bigstep,HPR,rhat,0
51,bigstep,HPR,rhat,0
52,bigstep,HPR,rhat,0
53,bigstep,HPR,rhat,0
54,bigstep,HPR,rhat,0
55,bigstep,HPR,rhat,0
56,bigstep,HPR,rhat,0
57,bigstep,HPR,rhat,0
58,bigstep,HPR,rhat,0
59,bigstep,HPR,rhat,0
60,bigstep,HPR,rhat,0
61,bigstep,HPR,rhat,0
62,bigstep,HPR,rhat,0
63,bigstep,HPR,rhat,0
64,bigstep,HPR,rhat,0
65,bigstep,HPR,rhat,0
66,bigstep,HPR,rhat,0
67,bigstep,HPR,rhat,0
68,bigstep,HPR,rhat,0
69,bigstep,HPR,rhat,0
70,bigstep,HPR,rhat,0
71,bigstep,HPR,rhat,0
72,bigstep,HPR,rhat,0
73,bigstep,HPR,rhat,0
74,bigstep,HPR,rhat,0
75,bigstep,HPR,rhat,0
76,bigstep,HPR,rhat,0
77,bigstep,HPR,rhat,0
78,bigstep,HPR,rhat,0
