DSC,simulate,analyze,score,score.metric
1,bigstep,HPR,beta2_bias,0.002693100000000004
2,bigstep,HPR,beta2_bias,4.421000000000008e-4
3,bigstep,HPR,beta2_bias,4.257000000000011e-4
4,bigstep,HPR,beta2_bias,4.6145000000000214e-4
5,bigstep,HPR,beta2_bias,0.0038861000000000034
6,bigstep,HPR,beta2_bias,0.0036189999999999972
7,bigstep,HPR,beta2_bias,0.0026256000000000057
8,bigstep,HPR,beta2_bias,0.0020974999999999883
9,bigstep,HPR,beta2_bias,0.0021730000000000083
10,bigstep,HPR,beta2_bias,0.0013446000000000013
11,bigstep,HPR,beta2_bias,2.2345000000001392e-4
12,bigstep,HPR,beta2_bias,0.006431750000000014
13,bigstep,HPR,beta2_bias,0.004016499999999992
14,bigstep,HPR,beta2_bias,0.0011619999999999964
15,bigstep,HPR,beta2_bias,0.0026159999999999933
16,bigstep,HPR,beta2_bias,0.004587400000000005
17,bigstep,HPR,beta2_bias,0.0012082999999999955
18,bigstep,HPR,beta2_bias,0.001962499999999992
19,bigstep,HPR,beta2_bias,0.0020830000000000015
20,bigstep,HPR,beta2_bias,8.779999999999899e-5
21,bigstep,HPR,beta2_bias,0.003794999999999993
22,bigstep,HPR,beta2_bias,0.0018409999999999954
23,bigstep,HPR,beta2_bias,0.0050332000000000016
24,bigstep,HPR,beta2_bias,0.0025260000000000005
25,bigstep,HPR,beta2_bias,5.124999999999991e-4
26,bigstep,HPR,beta2_bias,1.2149999999999661e-4
27,bigstep,HPR,beta2_bias,0.005914900000000001
28,bigstep,HPR,beta2_bias,0.0016519999999999868
29,bigstep,HPR,beta2_bias,0.0022109999999999908
30,bigstep,HPR,beta2_bias,0.003414500000000001
31,bigstep,HPR,beta2_bias,0.0022807999999999995
32,bigstep,HPR,beta2_bias,0.0031434999999999935
33,bigstep,HPR,beta2_bias,0.00917285000000001
34,bigstep,HPR,beta2_bias,0.0019509999999999944
35,bigstep,HPR,beta2_bias,1.1249999999998761e-4
36,bigstep,HPR,beta2_bias,0.0030514999999999987
37,bigstep,HPR,beta2_bias,2.249999999999891e-4
38,bigstep,HPR,beta2_bias,0.00144699999999999
39,bigstep,HPR,beta2_bias,0.0012355000000000005
40,bigstep,HPR,beta2_bias,4.069999999999907e-4
41,bigstep,HPR,beta2_bias,0.008016999999999996
42,bigstep,HPR,beta2_bias,0.0014289500000000122
43,bigstep,HPR,beta2_bias,5.307000000000089e-4
44,bigstep,HPR,beta2_bias,0.0029889999999999917
45,bigstep,HPR,beta2_bias,0.003379999999999994
46,bigstep,HPR,beta2_bias,0.002596999999999988
47,bigstep,HPR,beta2_bias,4.714999999999997e-4
48,bigstep,HPR,beta2_bias,0.0037984999999999963
49,bigstep,HPR,beta2_bias,8.476500000000053e-4
50,bigstep,HPR,beta2_bias,0.0011869999999999936
51,bigstep,HPR,beta2_bias,0.0021589999999999943
52,bigstep,HPR,beta2_bias,0.003897499999999998
53,bigstep,HPR,beta2_bias,0.004951499999999998
54,bigstep,HPR,beta2_bias,0.005575200000000002
55,bigstep,HPR,beta2_bias,0.0036635
56,bigstep,HPR,beta2_bias,6.724999999999925e-4
57,bigstep,HPR,beta2_bias,0.0025787500000000046
58,bigstep,HPR,beta2_bias,0.0038856500000000044
59,bigstep,HPR,beta2_bias,0.0015637500000000026
60,bigstep,HPR,beta2_bias,0.003693999999999989
61,bigstep,HPR,beta2_bias,0.008151499999999992
62,bigstep,HPR,beta2_bias,3.813500000000025e-4
63,bigstep,HPR,beta2_bias,0.0018328500000000109
64,bigstep,HPR,beta2_bias,0.002550499999999997
65,bigstep,HPR,beta2_bias,9.989999999999999e-4
66,bigstep,HPR,beta2_bias,0.0022584999999999966
67,bigstep,HPR,beta2_bias,0.0035179999999999934
68,bigstep,HPR,beta2_bias,0.0037609999999999866
69,bigstep,HPR,beta2_bias,0.0018114999999999937
70,bigstep,HPR,beta2_bias,0.0017397500000000121
71,bigstep,HPR,beta2_bias,6.029999999999924e-4
72,bigstep,HPR,beta2_bias,0.0041069999999999995
73,bigstep,HPR,beta2_bias,0.0026984999999999926
74,bigstep,HPR,beta2_bias,0.0029753500000000155
75,bigstep,HPR,beta2_bias,0.0015734999999999916
76,bigstep,HPR,beta2_bias,0.001679
77,bigstep,HPR,beta2_bias,0.0017468500000000081
78,bigstep,HPR,beta2_bias,6.958000000000103e-4
79,bigstep,HPR,beta2_bias,0.002764600000000006
80,bigstep,HPR,beta2_bias,0.002458999999999989
81,bigstep,HPR,beta2_bias,0.0033964999999999967
82,bigstep,HPR,beta2_bias,1.3865000000000405e-4
83,bigstep,HPR,beta2_bias,0.0015929999999999972
84,bigstep,HPR,beta2_bias,0.0061773999999999996
85,bigstep,HPR,beta2_bias,0.0038078
86,bigstep,HPR,beta2_bias,0.002628950000000005
87,bigstep,HPR,beta2_bias,0.0014964999999999978
88,bigstep,HPR,beta2_bias,0.002547049999999995
89,bigstep,HPR,beta2_bias,0.007807499999999995
90,bigstep,HPR,beta2_bias,0.00133599999999999
91,bigstep,HPR,beta2_bias,7.649999999999879e-4
92,bigstep,HPR,beta2_bias,0.002343999999999999
93,bigstep,HPR,beta2_bias,6.71999999999992e-4
94,bigstep,HPR,beta2_bias,3.6999999999999533e-4
95,bigstep,HPR,beta2_bias,0.0050634999999999986
96,bigstep,HPR,beta2_bias,0.0011629999999999974
97,bigstep,HPR,beta2_bias,0.002665150000000005
98,bigstep,HPR,beta2_bias,2.3999999999999022e-4
99,bigstep,HPR,beta2_bias,0.005205399999999999
100,bigstep,HPR,beta2_bias,0.004861450000000017
1,bigstep,HPR,beta3_bias,0.12199500000000008
2,bigstep,HPR,beta3_bias,0.08638000000000012
3,bigstep,HPR,beta3_bias,0.21440500000000018
4,bigstep,HPR,beta3_bias,0.17140500000000003
5,bigstep,HPR,beta3_bias,0.03459499999999949
6,bigstep,HPR,beta3_bias,0.031489999999999796
7,bigstep,HPR,beta3_bias,0.13015000000000043
8,bigstep,HPR,beta3_bias,0.49502500000000005
9,bigstep,HPR,beta3_bias,0.06469500000000039
10,bigstep,HPR,beta3_bias,0.05174000000000056
11,bigstep,HPR,beta3_bias,0.13390000000000057
12,bigstep,HPR,beta3_bias,0.41446999999999967
13,bigstep,HPR,beta3_bias,0.3876400000000002
14,bigstep,HPR,beta3_bias,0.0587800000000005
15,bigstep,HPR,beta3_bias,0.17610499999999973
16,bigstep,HPR,beta3_bias,0.04439499999999974
17,bigstep,HPR,beta3_bias,0.17045500000000047
18,bigstep,HPR,beta3_bias,0.23838999999999988
