DSC,simulate,analyze,score,score.metric
1,bigstep,HPR_obs,cover_obs,0.8
2,bigstep,HPR_obs,cover_obs,0.82
3,bigstep,HPR_obs,cover_obs,0.74
4,bigstep,HPR_obs,cover_obs,0.7
5,bigstep,HPR_obs,cover_obs,0.86
6,bigstep,HPR_obs,cover_obs,0.78
7,bigstep,HPR_obs,cover_obs,0.86
8,bigstep,HPR_obs,cover_obs,0.78
9,bigstep,HPR_obs,cover_obs,0.7
10,bigstep,HPR_obs,cover_obs,0.8
11,bigstep,HPR_obs,cover_obs,0.8
12,bigstep,HPR_obs,cover_obs,0.72
13,bigstep,HPR_obs,cover_obs,0.68
14,bigstep,HPR_obs,cover_obs,0.74
15,bigstep,HPR_obs,cover_obs,0.72
16,bigstep,HPR_obs,cover_obs,0.72
17,bigstep,HPR_obs,cover_obs,0.84
18,bigstep,HPR_obs,cover_obs,0.78
19,bigstep,HPR_obs,cover_obs,0.78
20,bigstep,HPR_obs,cover_obs,0.9
21,bigstep,HPR_obs,cover_obs,0.76
22,bigstep,HPR_obs,cover_obs,0.68
23,bigstep,HPR_obs,cover_obs,0.66
24,bigstep,HPR_obs,cover_obs,0.72
25,bigstep,HPR_obs,cover_obs,0.74
26,bigstep,HPR_obs,cover_obs,0.68
27,bigstep,HPR_obs,cover_obs,0.64
28,bigstep,HPR_obs,cover_obs,0.78
29,bigstep,HPR_obs,cover_obs,0.58
30,bigstep,HPR_obs,cover_obs,0.84
31,bigstep,HPR_obs,cover_obs,0.78
32,bigstep,HPR_obs,cover_obs,0.8
33,bigstep,HPR_obs,cover_obs,0.7
34,bigstep,HPR_obs,cover_obs,0.84
35,bigstep,HPR_obs,cover_obs,0.84
36,bigstep,HPR_obs,cover_obs,0.8
37,bigstep,HPR_obs,cover_obs,0.86
38,bigstep,HPR_obs,cover_obs,0.76
39,bigstep,HPR_obs,cover_obs,0.64
40,bigstep,HPR_obs,cover_obs,0.56
41,bigstep,HPR_obs,cover_obs,0.82
42,bigstep,HPR_obs,cover_obs,0.74
43,bigstep,HPR_obs,cover_obs,0.74
44,bigstep,HPR_obs,cover_obs,0.7
45,bigstep,HPR_obs,cover_obs,0.76
46,bigstep,HPR_obs,cover_obs,0.78
47,bigstep,HPR_obs,cover_obs,0.62
48,bigstep,HPR_obs,cover_obs,0.64
49,bigstep,HPR_obs,cover_obs,0.78
50,bigstep,HPR_obs,cover_obs,0.68
51,bigstep,HPR_obs,cover_obs,0.92
52,bigstep,HPR_obs,cover_obs,0.74
53,bigstep,HPR_obs,cover_obs,0.7
54,bigstep,HPR_obs,cover_obs,0.7
55,bigstep,HPR_obs,cover_obs,0.7
56,bigstep,HPR_obs,cover_obs,0.8
57,bigstep,HPR_obs,cover_obs,0.76
58,bigstep,HPR_obs,cover_obs,0.82
59,bigstep,HPR_obs,cover_obs,0.76
60,bigstep,HPR_obs,cover_obs,0.74
61,bigstep,HPR_obs,cover_obs,0.72
62,bigstep,HPR_obs,cover_obs,0.84
63,bigstep,HPR_obs,cover_obs,0.74
64,bigstep,HPR_obs,cover_obs,0.74
65,bigstep,HPR_obs,cover_obs,0.72
66,bigstep,HPR_obs,cover_obs,0.9
67,bigstep,HPR_obs,cover_obs,0.74
68,bigstep,HPR_obs,cover_obs,0.66
69,bigstep,HPR_obs,cover_obs,0.72
70,bigstep,HPR_obs,cover_obs,0.68
71,bigstep,HPR_obs,cover_obs,0.8
72,bigstep,HPR_obs,cover_obs,0.76
73,bigstep,HPR_obs,cover_obs,0.78
74,bigstep,HPR_obs,cover_obs,0.74
75,bigstep,HPR_obs,cover_obs,0.66
76,bigstep,HPR_obs,cover_obs,0.7
77,bigstep,HPR_obs,cover_obs,0.8
78,bigstep,HPR_obs,cover_obs,0.78
79,bigstep,HPR_obs,cover_obs,0.8
80,bigstep,HPR_obs,cover_obs,0.64
81,bigstep,HPR_obs,cover_obs,0.56
82,bigstep,HPR_obs,cover_obs,0.76
83,bigstep,HPR_obs,cover_obs,0.66
84,bigstep,HPR_obs,cover_obs,0.82
85,bigstep,HPR_obs,cover_obs,0.56
86,bigstep,HPR_obs,cover_obs,0.68
87,bigstep,HPR_obs,cover_obs,0.8
88,bigstep,HPR_obs,cover_obs,0.82
89,bigstep,HPR_obs,cover_obs,0.84
90,bigstep,HPR_obs,cover_obs,0.74
91,bigstep,HPR_obs,cover_obs,0.72
92,bigstep,HPR_obs,cover_obs,0.76
93,bigstep,HPR_obs,cover_obs,0.74
94,bigstep,HPR_obs,cover_obs,0.82
95,bigstep,HPR_obs,cover_obs,0.58
96,bigstep,HPR_obs,cover_obs,0.74
97,bigstep,HPR_obs,cover_obs,0.72
98,bigstep,HPR_obs,cover_obs,0.8
99,bigstep,HPR_obs,cover_obs,0.82
100,bigstep,HPR_obs,cover_obs,0.7
1,bigstep,HPR_obs,cover_aug,NA
2,bigstep,HPR_obs,cover_aug,NA
3,bigstep,HPR_obs,cover_aug,NA
4,bigstep,HPR_obs,cover_aug,NA
5,bigstep,HPR_obs,cover_aug,NA
6,bigstep,HPR_obs,cover_aug,NA
7,bigstep,HPR_obs,cover_aug,NA
8,bigstep,HPR_obs,cover_aug,NA
9,bigstep,HPR_obs,cover_aug,NA
