DSC,simulate,analyze,score,score.metric
1,bigstep,HPR,div,0.052375
2,bigstep,HPR,div,0.052
3,bigstep,HPR,div,0.031375
4,bigstep,HPR,div,0.02725
5,bigstep,HPR,div,0.0375
6,bigstep,HPR,div,0.06275
7,bigstep,HPR,div,0.049625
8,bigstep,HPR,div,0.039
9,bigstep,HPR,div,0.042625
10,bigstep,HPR,div,0.04725
11,bigstep,HPR,div,0.027625
12,bigstep,HPR,div,0.058375
13,bigstep,HPR,div,0.203
14,bigstep,HPR,div,0.0405
15,bigstep,HPR,div,0.034375
16,bigstep,HPR,div,0.054875
17,bigstep,HPR,div,0.067625
18,bigstep,HPR,div,0.03475
19,bigstep,HPR,div,0.056
20,bigstep,HPR,div,0.029125
21,bigstep,HPR,div,0.0415
22,bigstep,HPR,div,0.058
23,bigstep,HPR,div,0.04125
24,bigstep,HPR,div,0.050125
25,bigstep,HPR,div,0.03575
26,bigstep,HPR,div,0.0385
27,bigstep,HPR,div,0.035125
28,bigstep,HPR,div,0.037125
29,bigstep,HPR,div,0.05775
30,bigstep,HPR,div,0.037375
31,bigstep,HPR,div,0.0425
32,bigstep,HPR,div,0.0465
33,bigstep,HPR,div,0.04225
34,bigstep,HPR,div,0.04775
35,bigstep,HPR,div,0.038125
36,bigstep,HPR,div,0.035125
37,bigstep,HPR,div,0.053
38,bigstep,HPR,div,0.046875
39,bigstep,HPR,div,0.049125
40,bigstep,HPR,div,0.048375
41,bigstep,HPR,div,0.039375
42,bigstep,HPR,div,0.0485
43,bigstep,HPR,div,0.059375
44,bigstep,HPR,div,0.037625
45,bigstep,HPR,div,0.04675
46,bigstep,HPR,div,0.060375
47,bigstep,HPR,div,0.05775
48,bigstep,HPR,div,0.061
49,bigstep,HPR,div,0.04225
50,bigstep,HPR,div,0.04525
51,bigstep,HPR,div,0.044375
52,bigstep,HPR,div,0.03275
53,bigstep,HPR,div,0.06825
54,bigstep,HPR,div,0.03425
55,bigstep,HPR,div,0.028
56,bigstep,HPR,div,0.031375
57,bigstep,HPR,div,0.025375
58,bigstep,HPR,div,0.0575
59,bigstep,HPR,div,0.034625
60,bigstep,HPR,div,0.0455
61,bigstep,HPR,div,0.0415
62,bigstep,HPR,div,0.045875
63,bigstep,HPR,div,0.048875
64,bigstep,HPR,div,0.031125
65,bigstep,HPR,div,0.059
66,bigstep,HPR,div,0.165375
67,bigstep,HPR,div,0.06625
68,bigstep,HPR,div,0.028875
69,bigstep,HPR,div,0.04475
70,bigstep,HPR,div,0.0485
71,bigstep,HPR,div,0.048375
72,bigstep,HPR,div,0.049375
73,bigstep,HPR,div,0.039875
74,bigstep,HPR,div,0.031125
75,bigstep,HPR,div,0.05
76,bigstep,HPR,div,0.043
77,bigstep,HPR,div,0.044125
78,bigstep,HPR,div,0.03775
79,bigstep,HPR,div,0.050125
80,bigstep,HPR,div,0.054625
81,bigstep,HPR,div,0.04275
82,bigstep,HPR,div,0.03375
83,bigstep,HPR,div,0.0565
84,bigstep,HPR,div,0.03775
85,bigstep,HPR,div,0.028875
86,bigstep,HPR,div,0.054125
87,bigstep,HPR,div,0.047
88,bigstep,HPR,div,0.03775
89,bigstep,HPR,div,0.052875
90,bigstep,HPR,div,0.0415
91,bigstep,HPR,div,0.02825
92,bigstep,HPR,div,0.023125
93,bigstep,HPR,div,0.0535
94,bigstep,HPR,div,0.054125
95,bigstep,HPR,div,0.04325
96,bigstep,HPR,div,0.080625
97,bigstep,HPR,div,0.045125
98,bigstep,HPR,div,0.0295
99,bigstep,HPR,div,0.049375
100,bigstep,HPR,div,0.046875
1,bigstep,HPR,time,347.36696195602417
2,bigstep,HPR,time,351.72196412086487
3,bigstep,HPR,time,331.34825229644775
4,bigstep,HPR,time,394.5887312889099
5,bigstep,HPR,time,395.38936614990234
6,bigstep,HPR,time,337.00272369384766
7,bigstep,HPR,time,366.2102608680725
8,bigstep,HPR,time,366.66339230537415
9,bigstep,HPR,time,382.5626697540283
10,bigstep,HPR,time,297.12345790863037
11,bigstep,HPR,time,378.72445607185364
12,bigstep,HPR,time,302.1144196987152
13,bigstep,HPR,time,329.7243163585663
14,bigstep,HPR,time,321.2273976802826
15,bigstep,HPR,time,366.19821190834045
16,bigstep,HPR,time,255.38947439193726
17,bigstep,HPR,time,337.2643737792969
18,bigstep,HPR,time,371.93381929397583
19,bigstep,HPR,time,330.2696807384491
20,bigstep,HPR,time,365.2710700035095
21,bigstep,HPR,time,333.4830656051636
22,bigstep,HPR,time,334.167085647583
23,bigstep,HPR,time,309.7339928150177
24,bigstep,HPR,time,344.2966332435608
25,bigstep,HPR,time,320.60070276260376
26,bigstep,HPR,time,434.22303462028503
27,bigstep,HPR,time,376.32495379447937
28,bigstep,HPR,time,380.2239851951599
29,bigstep,HPR,time,325.63268995285034
30,bigstep,HPR,time,405.3194305896759
31,bigstep,HPR,time,377.35923194885254
32,bigstep,HPR,time,413.9752719402313
33,bigstep,HPR,time,483.7827525138855
34,bigstep,HPR,time,309.52329683303833
35,bigstep,HPR,time,416.4914517402649
36,bigstep,HPR,time,401.4172806739807
37,bigstep,HPR,time,333.31726121902466
38,bigstep,HPR,time,333.34057879447937
39,bigstep,HPR,time,268.726446390152
40,bigstep,HPR,time,423.8752534389496
41,bigstep,HPR,time,1042.1387159824371
42,bigstep,HPR,time,1031.9647924900055
43,bigstep,HPR,time,893.9574139118195
44,bigstep,HPR,time,1056.9600942134857
45,bigstep,HPR,time,1005.7140979766846
46,bigstep,HPR,time,1019.9148254394531
47,bigstep,HPR,time,1054.1375515460968
48,bigstep,HPR,time,975.2064664363861
49,bigstep,HPR,time,1025.5495541095734
50,bigstep,HPR,time,1141.8618404865265
51,bigstep,HPR,time,941.426432132721
52,bigstep,HPR,time,1112.4851348400116
53,bigstep,HPR,time,1161.5592567920685
54,bigstep,HPR,time,1264.1525971889496
55,bigstep,HPR,time,1135.3293554782867
56,bigstep,HPR,time,1213.1380445957184
57,bigstep,HPR,time,1263.9891829490662
58,bigstep,HPR,time,1095.3483927249908
59,bigstep,HPR,time,384.45423913002014
60,bigstep,HPR,time,313.3904118537903
61,bigstep,HPR,time,1140.9885449409485
62,bigstep,HPR,time,1011.4871292114258
63,bigstep,HPR,time,395.5218002796173
64,bigstep,HPR,time,346.30409717559814
65,bigstep,HPR,time,1152.0245442390442
66,bigstep,HPR,time,1073.4971117973328
67,bigstep,HPR,time,1142.5900099277496
68,bigstep,HPR,time,1371.877066373825
69,bigstep,HPR,time,349.0503933429718
70,bigstep,HPR,time,329.8568127155304
71,bigstep,HPR,time,326.23337864875793
72,bigstep,HPR,time,319.01725244522095
73,bigstep,HPR,time,359.9269816875458
74,bigstep,HPR,time,396.67982959747314
75,bigstep,HPR,time,378.8011043071747
76,bigstep,HPR,time,329.47934103012085
77,bigstep,HPR,time,395.9942743778229
78,bigstep,HPR,time,356.5795259475708
79,bigstep,HPR,time,384.1652545928955
80,bigstep,HPR,time,366.7992467880249
81,bigstep,HPR,time,470.0766212940216
82,bigstep,HPR,time,163.21729516983032
83,bigstep,HPR,time,169.81831431388855
84,bigstep,HPR,time,405.8197922706604
85,bigstep,HPR,time,380.90295004844666
86,bigstep,HPR,time,349.4473559856415
87,bigstep,HPR,time,388.8715410232544
88,bigstep,HPR,time,277.6366198062897
89,bigstep,HPR,time,390.8421165943146
90,bigstep,HPR,time,352.32233238220215
91,bigstep,HPR,time,404.8372049331665
92,bigstep,HPR,time,470.74128818511963
93,bigstep,HPR,time,308.63735795021057
94,bigstep,HPR,time,401.56996297836304
95,bigstep,HPR,time,323.7836546897888
96,bigstep,HPR,time,411.6158666610718
97,bigstep,HPR,time,387.2994108200073
98,bigstep,HPR,time,370.65117621421814
99,bigstep,HPR,time,298.552503824234
100,bigstep,HPR,time,369.36282444000244
1,bigstep,HPR,rhat,0
2,bigstep,HPR,rhat,0
3,bigstep,HPR,rhat,0
4,bigstep,HPR,rhat,0
5,bigstep,HPR,rhat,0
6,bigstep,HPR,rhat,0
7,bigstep,HPR,rhat,0
8,bigstep,HPR,rhat,0
9,bigstep,HPR,rhat,0
10,bigstep,HPR,rhat,0
11,bigstep,HPR,rhat,0
12,bigstep,HPR,rhat,0
13,bigstep,HPR,rhat,0.09333333333333334
14,bigstep,HPR,rhat,0
15,bigstep,HPR,rhat,0
16,bigstep,HPR,rhat,0
17,bigstep,HPR,rhat,0
18,bigstep,HPR,rhat,0
